Carboxymethyl cellulose				K=([Pb–OOC][H+])/([Pb2+][–COOH])					
Total Pb(NO3)2 (mL)	pPb	pH		[Pb–OOC]	[H+]	[Pb2+] Activity	[Pb2+] conc	[–COOH]	K
0.5	6.11	4.74		0.0002492237529	0.00001819700859	0.0000007762471166	0.000001158577786	0.01402077625	0.2791850609
1	5.68	4.48		0.0004979107039	0.00003311311215	0.000002089296131	0.000003118352434	0.0137720893	0.3839073575
1.5	5.24	4.23		0.0007442456006	0.00005888436554	0.000005754399373	0.000008588655781	0.0135257544	0.3772502894
2	5.05	3.96		0.0009910874906	0.0001096478196	0.000008912509381	0.00001330225281	0.01327891251	0.6152112772
2.5	4.75	3.81		0.001232217206	0.0001548816619	0.0000177827941	0.00002654148373	0.01303778279	0.5515162713
3	4.63	3.73		0.001476557712	0.0001862087137	0.00002344228815	0.00003498848978	0.01279344229	0.6142396037
3.5	4.48	3.69		0.001716886888	0.0002041737945	0.00003311311215	0.00004942255545	0.01255311311	0.5650215919
4	4.46	3.65		0.001965326315	0.0002238721139	0.00003467368505	0.00005175176872	0.01230467369	0.6909384654
4.5	4.38	3.62		0.002208313062	0.0002398832919	0.00004168693835	0.00006221931097	0.01206168694	0.7058743353
5	4.35	3.60		0.002455331641	0.0002511886432	0.00004466835922	0.00006666919286	0.01181466836	0.7830030031
5.5	4.31	3.58		0.002701022118	0.0002630267992	0.00004897788194	0.00007310131632	0.01156897788	0.8400554476
6	4.29	3.56		0.002948713862	0.0002754228703	0.0000512861384	0.00007654647522	0.01132128614	0.9371555187
6.5	4.30	3.54		0.003199881277	0.0002884031503	0.00005011872336	0.00007480406472	0.01107011872	1.114439224
7	4.28	3.52		0.003447519254	0.000301995172	0.00005248074602	0.00007832947168	0.01082248075	1.228159243
7.5	4.27	3.51		0.00369629682	0.0003090295433	0.00005370317964	0.00008015399946	0.01057370318	1.347766094
8	4.28	3.49		0.003947519254	0.0003235936569	0.00005248074602	0.00007832947168	0.01032248075	1.579846812
8.5	4.25	3.48		0.004193765867	0.0003311311215	0.00005623413252	0.00008393154107	0.01007623413	1.64202866
9	4.24	3.47		0.004442456006	0.0003388441561	0.00005754399373	0.00008588655781	0.009827543994	1.783417163
9.5	4.21	3.46		0.0046883405	0.0003467368505	0.00006165950019	0.00009202910476	0.0095816595	1.843542758
10	4.20	3.46		0.004936904266	0.0003467368505	0.00006309573445	0.00009417273798	0.009333095734	1.947618036
									
Tannic acid				K=([Pb–OOC][H+])/([Pb2+][–COOH])					
