0.01M NaNO3											
Solution 1			Solution 2			Solution 3			Average		
Total Pb(NO3)2 (mL)	pH		Total Pb(NO3)2 (mL)	pH		Total Pb(NO3)2 (mL)	pH		Total Pb(NO3)2 (mL)	pH	Standard Deviation
0.5	4.76		0.5	4.79		0.5	4.73		0.5	4.76	0.03
1	4.65		1	4.67		1	4.68		1	4.67	0.01527525232
1.5	4.59		1.5	4.6		1.5	4.61		1.5	4.60	0.01
2	4.52		2	4.52		2	4.51		2	4.52	0.005773502692
2.5	4.46		2.5	4.46		2.5	4.47		2.5	4.46	0.005773502692
3	4.41		3	4.41		3	4.42		3	4.41	0.005773502692
3.5	4.36		3.5	4.35		3.5	4.37		3.5	4.36	0.01
4	4.31		4	4.3		4	4.32		4	4.31	0.01
4.5	4.27		4.5	4.27		4.5	4.28		4.5	4.27	0.005773502692
5	4.24		5	4.23		5	4.24		5	4.24	0.005773502692
5.5	4.2		5.5	4.2		5.5	4.21		5.5	4.20	0.005773502692
6	4.18		6	4.16		6	4.18		6	4.17	0.01154700538
6.5	4.15		6.5	4.13		6.5	4.15		6.5	4.14	0.01154700538
7	4.12		7	4.11		7	4.12		7	4.12	0.005773502692
7.5	4.09		7.5	4.08		7.5	4.1		7.5	4.09	0.01
8	4.07		8	4.06		8	4.07		8	4.07	0.005773502692
8.5	4.05		8.5	4.04		8.5	4.05		8.5	4.05	0.005773502692
9	4.02		9	4.01		9	4.03		9	4.02	0.01
9.5	4.01		9.5	3.99		9.5	4.01		9.5	4.00	0.01154700538
10	3.99		10	3.97		10	3.99		10	3.98	0.01154700538
											
0.1% carboxymethyl cellulose (CBMC)											
Solution 1			Solution 2			Solution 3			Average		
Total Pb(NO3)2 (mL)	pH		Total Pb(NO3)2 (mL)	pH		Total Pb(NO3)2 (mL)	pH		Total Pb(NO3)2 (mL)	pH	Standard Deviation
0.5	4.77		0.5	4.67		0.5	4.79		0.5	4.74333333	0.064291005
1	4.52		1	4.4		1	4.52		1	4.48	0.069282032
1.5	4.27		1.5	4.14		1.5	4.29		1.5	4.23333333	0.081445278
2	4		2	3.87		2	4		2	3.95666667	0.075055535
2.5	3.87		2.5	3.73		2.5	3.84		2.5	3.81333333	0.073711148
3	3.79		3	3.65		3	3.76		3	3.73333333	0.073711148
3.5	3.74		3.5	3.61		3.5	3.71		3.5	3.68666667	0.068068593
4	3.71		4	3.58		4	3.67		4	3.65333333	0.066583281
4.5	3.68		4.5	3.55		4.5	3.64		4.5	3.62333333	0.066583281
5	3.66		5	3.53		5	3.62		5	3.60333333	0.066583281
5.5	3.64		5.5	3.51		5.5	3.6		5.5	3.58333333	0.066583281
6	3.62		6	3.5		6	3.56		6	3.56	0.06
6.5	3.61		6.5	3.48		6.5	3.54		6.5	3.54333333	0.065064071
7	3.58		7	3.47		7	3.52		7	3.52333333	0.055075705
7.5	3.56		7.5	3.46		7.5	3.51		7.5	3.51	0.05
8	3.54		8	3.45		8	3.49		8	3.49333333	0.045092498
8.5	3.53		8.5	3.44		8.5	3.48		8.5	3.48333333	0.045092498
9	3.52		9	3.44		9	3.46		9	3.47333333	0.04163332
9.5	3.51		9.5	3.43		9.5	3.45		9.5	3.46333333	0.04163332
10	3.5		10	3.42		10	3.45		10	3.45666667	0.040414519
											
0.1% tannic acid											
Solution 1			Solution 2			Solution 3			Average		
Total Pb(NO3)2 (mL)	pH		Total Pb(NO3)2 (mL)	pH		Total Pb(NO3)2 (mL)	pH		Total Pb(NO3)2 (mL)	pH	Standard Deviation
0.5	4		0.5	4.05		0.5	4.04		0.5	4.03	0.02645751311
1	3.82		1	3.84		1	3.82		1	3.826666667	0.01154700538
1.5	3.72		1.5	3.72		1.5	3.71		1.5	3.716666667	0.005773502692
2	3.63		2	3.65		2	3.64		2	3.64	0.01
2.5	3.58		2.5	3.6		2.5	3.59		2.5	3.59	0.01
3	3.54		3	3.55		3	3.55		3	3.546666667	0.005773502692
3.5	3.51		3.5	3.52		3.5	3.51		3.5	3.513333333	0.005773502692
4	3.47		4	3.49		4	3.48		4	3.48	0.01
4.5	3.45		4.5	3.46		4.5	3.45		4.5	3.453333333	0.005773502692
5	3.43		5	3.44		5	3.43		5	3.433333333	0.005773502692
5.5	3.41		5.5	3.42		5.5	3.41		5.5	3.413333333	0.005773502692
6	3.4		6	3.41		6	3.39		6	3.4	0.01
6.5	3.38		6.5	3.39		6.5	3.37		6.5	3.38	0.01
7	3.37		7	3.38		7	3.36		7	3.37	0.01
7.5	3.35		7.5	3.36		7.5	3.34		7.5	3.35	0.01
8	3.34		8	3.35		8	3.33		8	3.34	0.01
8.5	3.33		8.5	3.33		8.5	3.31		8.5	3.323333333	0.01154700538
9	3.32		9	3.32		9	3.3		9	3.313333333	0.01154700538
9.5	3.31		9.5	3.31		9.5	3.29		9.5	3.303333333	0.01154700538
10	3.3		10	3.3		10	3.28		10	3.293333333	0.01154700538
											
0.1% humic acid											
Solution 1			Solution 2			Solution 3			Average		
Total Pb(NO3)2 (mL)	pH		Total Pb(NO3)2 (mL)	pH		Total Pb(NO3)2 (mL)	pH		Total Pb(NO3)2 (mL)	pH	Standard Deviation
0.5	5.06		0.5	5		0.5	4.98		0.5	5.013333333	0.04163331999
1	4.73		1	4.68		1	4.65		1	4.686666667	0.04041451884
1.5	4.37		1.5	4.32		1.5	4.32		1.5	4.336666667	0.02886751346
2	4.04		2	4		2	3.99		2	4.01	0.02645751311
2.5	3.84		2.5	3.82		2.5	3.82		2.5	3.826666667	0.01154700538
