0.01M NaOH added (burette reading) (mL),0.01M NaOH added (mL),pH
5,0,3.01
10,5,3.1
15,10,3.17
20,15,3.24
25,20,3.31
30,25,3.38
35,30,3.45
40,35,3.51
45,40,3.57
50,45,3.7
5,50,3.77
10,55,3.84
15,60,3.9
20,65,3.97
25,70,4.04
30,75,4.11
35,80,4.19
40,85,4.26
45,90,4.34
50,95,4.5
5.8,100,4.59
10.8,105,4.68
15.8,110,4.79
20.8,115,4.9
25.8,120,5.03
30.8,125,5.18
36.8,131,5.39
41.8,136,5.61
46.8,141,5.91
47.3,141.5,5.95
47.8,142,5.99
48.3,142.5,6.04
48.8,143,6.08
49.3,143.5,6.12
