Tannic acid,,,,K=([Pb–OOC][H+])/([Pb2+][–COOH]),,,,,,
Total Pb(NO3)2 (mL),pPb,pH,,[Pb–OOC],[H+],[Pb2+] Activity,[Pb2+] conc,[–COOH],K,K with H+ ion correction
0.5,5.47,4.03,,0.000246612,9.33254E-05,3.38844E-06,5.05738E-06,0.024913388,0.182665038,1957.291143
1,5.08,3.83,,0.000491682,0.000147911,8.31764E-06,1.24144E-05,0.024668318,0.237476096,1605.535454
1.5,4.92,3.72,,0.000737977,0.000190546,1.20226E-05,1.79442E-05,0.024422023,0.320875242,1683.977208
2,4.85,3.64,,0.000985875,0.000229087,1.41254E-05,2.10826E-05,0.024174125,0.443144865,1934.397494
2.5,4.79,3.59,,0.001233782,0.00025704,1.62181E-05,2.42061E-05,0.023926218,0.547569362,2130.292017
3,4.81,3.55,,0.001484512,0.000281838,1.54882E-05,2.31167E-05,0.023675488,0.764468375,2712.436152
3.5,4.74,3.51,,0.001731803,0.00030903,1.8197E-05,2.71597E-05,0.023428197,0.841074412,2721.663448
4,4.71,3.48,,0.001980502,0.000331131,1.94984E-05,2.91022E-05,0.023179498,0.972178373,2935.931751
4.5,4.67,3.45,,0.00222862,0.000354813,2.13796E-05,3.19099E-05,0.02293138,1.080639197,3045.655068
5,4.66,3.43,,0.002478122,0.000371535,2.18776E-05,3.26532E-05,0.022681878,1.243135734,3345.943094
5.5,4.67,3.41,,0.00272862,0.000389045,2.13796E-05,3.19099E-05,0.02243138,1.483070976,3812.079383
6,4.66,3.4,,0.002978122,0.000398107,2.18776E-05,3.26532E-05,0.022181878,1.636888278,4111.677455
6.5,4.63,3.38,,0.003226558,0.000416869,2.34423E-05,3.49885E-05,0.021933442,1.752699424,4204.433076
7,4.67,3.37,,0.00347862,0.00042658,2.13796E-05,3.19099E-05,0.02168138,2.144840126,5027.996029
7.5,4.63,3.35,,0.003726558,0.000446684,2.34423E-05,3.49885E-05,0.021433442,2.219681836,4969.248647
8,4.61,3.34,,0.003975453,0.000457088,2.45471E-05,3.66374E-05,0.021184547,2.34122004,5122.031356
8.5,4.59,3.32,,0.004224296,0.00047863,2.5704E-05,3.83641E-05,0.020935704,2.517338283,5259.465135
9,4.57,3.31,,0.004473085,0.000489779,2.69153E-05,4.01722E-05,0.020686915,2.63624751,5382.526573
9.5,4.55,3.3,,0.004721816,0.000501187,2.81838E-05,4.20654E-05,0.020438184,2.752590311,5492.139716
10,4.54,3.29,,0.00497116,0.000512861,2.88403E-05,4.30452E-05,0.02018884,2.933736767,5720.330792
