0.01M NaOH added (burette reading) (mL),0.01M NaOH added (mL),pH
24.9,0,3
25.1,0.2,3.07
25.2,0.3,3.1
25.4,0.5,3.17
26,1.1,3.4
26.5,1.6,3.59
27,2.1,3.79
27.5,2.6,3.97
28,3.1,4.12
28.5,3.6,4.26
29,4.1,4.41
29.5,4.6,4.54
30.1,5.2,4.67
30.5,5.6,4.75
31,6.1,4.85
31.5,6.6,4.92
32,7.1,4.92
32.5,7.6,4.99
33,8.1,5.06
33.6,8.7,5.13
34,9.1,5.16
34.5,9.6,5.18
10.5,10,5.21
11,10.5,5.22
11.5,11,5.26
12,11.5,5.29
12.5,12,5.31
13,12.5,5.33
14,13.5,5.36
15,14.5,5.38
17,16.5,5.45
19,18.5,5.52
22,21.5,5.54
25,24.5,5.65
28.2,27.7,5.77
31,30.5,5.87
34,33.5,5.97
11,34.9,6
14,37.9,6.15
17,40.9,6.31
20,43.9,6.49
23,46.9,6.66
26,49.9,6.84
29,52.9,7.03
32,55.9,7.22
35,58.9,7.42
38,61.9,7.61
41,64.9,7.8
44,67.9,7.97
47,70.9,8.01
38,73.5,8.18
41,76.5,8.38
32,79.2,8.53
35,82.2,8.73
38,85.2,8.94
40,87.2,9.01
