0.01M NaOH added (burette reading) (mL),0.01M NaOH added (mL),pH
0,0,2.97
0.5,0.5,3.03
1,1,3.09
2,2,3.21
4,4,3.4
7,7,3.69
10,10,3.91
13,13,4.1
17,17,4.32
21,21,4.55
25,25,4.81
29,29,5.09
33,33,5.39
37,37,5.65
41,41,5.87
45,45,6.06
50,50,6.36
4,54,6.62
8,58,6.74
12,62,6.86
16,66,6.94
20,70,7.02
24,74,7.08
28,78,7.16
32,82,7.22
36,86,7.29
40,90,7.36
44,94,7.42
47,97,7.46
50,100,7.57
4,104,7.62
8,108,7.66
12,112,7.72
16,116,7.76
20,120,7.8
24,124,7.86
28,128,7.9
32,132,7.95
36,136,7.99
40,140,8.04
44,144,8.1
47,147,8.12
50,150,8.19
4,154,8.22
8,158,8.27
12,162,8.32
16,166,8.33
20,170,8.37
24,174,8.41
29,179,8.45
34,184,8.53
39,189,8.53
44,194,8.6
50,200,8.65
4,204,8.69
8,208,8.72
12,212,8.73
16,216,8.78
20,220,8.78
24,224,8.82
28,228,8.83
32,232,8.87
36,236,8.87
40,240,8.9
44,244,8.92
47,247,8.94
50,250,8.98
47,253.6,8.99
50,256.6,9.03
